artifact,artifact_path,content_sha256,bytes,deployed,passed,diagnostic_only,override_reason,skipped_required_gates,sanity_reason,wf_reason,candidate_artifact_used,recipe_validated,recipe_fingerprint,recipe_fingerprint_occurrences
panel-ltr.alpha158_fund.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.json,04d7a381cd6df84721dd938ce74a297cbf3eda9d5bc3385515bc155014dd5b08,507224,True,True,True,"Operator directive 2026-06-22 (""全放宽 + 上 XGB"", ""把xgb马力开足，目前无论什么regime都只能用它""). Primary config wf_gate already opts out benchmark/regime/sanity_regime_ic (2026-05-30 operator decision accepting SPY-laggard GBDT). trade-monotonicity has no pass-enabling opt-in and is OVERRIDDEN by explicit operator authority. Real WF evidence retained below: Sharpe 0.70 vs SPY 1.08 (1/3 cuts beat), APY 7.0% vs SPY 16.9% (0/3 cuts beat), OOS IC +0.053. Reversible: restore the /tmp/prod-xgb.predeploy.* backup.","[""trade_monotonicity_pass_open_allowed""]","FAIL: regime sanity IC failed: regime sanity IC failed: BULL_CALM,CHOPPY","PASS: absolute Sharpe floor met and SPY benchmark met; SPY mean Sharpe +1.081, ΔSharpe -0.384, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.pre-v1-restamp-20260715T212457Z.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.pre-v1-restamp-20260715T212457Z.json,04d7a381cd6df84721dd938ce74a297cbf3eda9d5bc3385515bc155014dd5b08,507224,False,True,True,"Operator directive 2026-06-22 (""全放宽 + 上 XGB"", ""把xgb马力开足，目前无论什么regime都只能用它""). Primary config wf_gate already opts out benchmark/regime/sanity_regime_ic (2026-05-30 operator decision accepting SPY-laggard GBDT). trade-monotonicity has no pass-enabling opt-in and is OVERRIDDEN by explicit operator authority. Real WF evidence retained below: Sharpe 0.70 vs SPY 1.08 (1/3 cuts beat), APY 7.0% vs SPY 16.9% (0/3 cuts beat), OOS IC +0.053. Reversible: restore the /tmp/prod-xgb.predeploy.* backup.","[""trade_monotonicity_pass_open_allowed""]","FAIL: regime sanity IC failed: regime sanity IC failed: BULL_CALM,CHOPPY","PASS: absolute Sharpe floor met and SPY benchmark met; SPY mean Sharpe +1.081, ΔSharpe -0.384, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.previous.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.previous.json,7a232110d2cb1e5cbe42c7335f92fd5ab80cf5fdf98412948f533e579cb48bca,473887,False,False,False,,[],"FAIL: shuf_ic=-0.0009 (need |·| < 0.005), genuine_ic=+0.0092 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0654, placebo_ic=+0.0562)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.776, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.305, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_20260706T230931Z.staging.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_20260706T230931Z.staging.json,5211f6bebd90ca088c7fe2492cae1845369b80b84e53ed347d3c27d7a864c9cf,464741,False,True,False,2026-07-06 operator-directed freshness promote per model freshness governance policy (NO model >28d; freshness > strict gate). genuine_ic=+0.008 below 0.020 threshold due to structural embargo leakage floor (~+0.04 placebo on 60d label). real_ic=+0.055 is positive. Trained 2026-07-06.,[],"FAIL: shuf_ic=-0.0010 (need |·| < 0.005), genuine_ic=+0.0081 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0651, placebo_ic=+0.0570)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.778, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.303, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,d80a46dfeb0034e1a278f087901d9d4c0631ff7168b7d556fe557661d919f1ab,448716,False,False,False,,[],"FAIL: shuf_ic=-0.0017 (need |·| < 0.005), genuine_ic=+0.0058 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0650, placebo_ic=+0.0592)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.692, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.389, beat SPY Sharpe 1/3, beat SPY APY 1/3; benchmark-lag regimes=['HIGH_CALM']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,a1a2f82886000c7f49b47de14688ca1cebf45d478f852c1748c3388515423a61,453630,False,False,False,,[],"FAIL: shuf_ic=-0.0016 (need |·| < 0.005), genuine_ic=+0.0053 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0646, placebo_ic=+0.0594)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.692, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.389, beat SPY Sharpe 1/3, beat SPY APY 1/3; benchmark-lag regimes=['HIGH_CALM']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,c3614844300d9c4a8937e8e93de8eb944127bcf912651a3fee548c4555fbf8c5,451748,False,False,False,,[],"FAIL: shuf_ic=+0.0021 (need |·| < 0.005), genuine_ic=+0.0033 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0631, placebo_ic=+0.0598)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +1.166, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe +0.085, beat SPY Sharpe 2/3, beat SPY APY 1/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,0f0fa42d61db11156585a39f941561aefdc270828819fde163950658dd5fc74c,449203,False,False,False,,[],"FAIL: shuf_ic=+0.0021 (need |·| < 0.005), genuine_ic=+0.0033 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0631, placebo_ic=+0.0598)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.607, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.474, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,e2fd4b96cfee7af24b77405f4f2a8b9bfb1b7524ec5017d02eb2a38f34a66c28,446472,False,False,False,,[],"FAIL: shuf_ic=+0.0021 (need |·| < 0.005), genuine_ic=+0.0033 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0631, placebo_ic=+0.0598)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.650, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.430, beat SPY Sharpe 1/3, beat SPY APY 1/3; benchmark-lag regimes=['HIGH_CALM']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,a50a3dfea7cf7dc91ed386f38dfa65ea7b3e480f8d445b9d6d330837f1245ab9,449776,False,False,False,,[],"FAIL: shuf_ic=+0.0021 (need |·| < 0.005), genuine_ic=+0.0033 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0631, placebo_ic=+0.0598)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.650, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.430, beat SPY Sharpe 1/3, beat SPY APY 1/3; benchmark-lag regimes=['HIGH_CALM']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,eaedf1f4ff80f3e3c5677b97fc28ca52672c994a2c43e2d96c2fc518cd027c59,443049,False,False,False,,[],"FAIL: shuf_ic=-0.0008 (need |·| < 0.005), genuine_ic=+0.0008 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0589, placebo_ic=+0.0581)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.535, 2/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.545, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,ae97e6ad4f8dbf0654c10303f11b8ce682a7a5802375b27a45618cd47cfd6c5b,448413,False,False,False,,[],"FAIL: shuf_ic=-0.0008 (need |·| < 0.005), genuine_ic=+0.0008 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0589, placebo_ic=+0.0581)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.535, 2/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.545, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,f7b587b30b2ba61f12f71210e85aae8dfa24639966421e755bc7272bd6a62ab5,445469,False,False,False,,[],"FAIL: shuf_ic=-0.0008 (need |·| < 0.005), genuine_ic=+0.0008 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0589, placebo_ic=+0.0581)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.535, 2/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.545, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_rollback_2026-07-06.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_rollback_2026-07-06.json,7a232110d2cb1e5cbe42c7335f92fd5ab80cf5fdf98412948f533e579cb48bca,473887,False,False,False,,[],"FAIL: shuf_ic=-0.0009 (need |·| < 0.005), genuine_ic=+0.0092 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0654, placebo_ic=+0.0562)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.776, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.305, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
panel-ltr.alpha158_fund.weekly_rollback_2026-07-09.json,backtesting/renquant_104/artifacts/prod/panel-ltr.alpha158_fund.weekly_rollback_2026-07-09.json,5211f6bebd90ca088c7fe2492cae1845369b80b84e53ed347d3c27d7a864c9cf,464741,False,True,False,2026-07-06 operator-directed freshness promote per model freshness governance policy (NO model >28d; freshness > strict gate). genuine_ic=+0.008 below 0.020 threshold due to structural embargo leakage floor (~+0.04 placebo on 60d label). real_ic=+0.055 is positive. Trained 2026-07-06.,[],"FAIL: shuf_ic=-0.0010 (need |·| < 0.005), genuine_ic=+0.0081 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0651, placebo_ic=+0.0570)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.778, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.303, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True,sha256:cfdd6cb8e950da0f,43
